state,district,Enrolment Total,Demographic Total,Biometric Total,demo_update_rate,bio_update_rate,demo_update_rate_zscore,bio_update_rate_zscore,final_risk_score
100000,100000,218.0,2.0,0.0,0.0091324200913242,0.0,-0.3210576513246207,-0.8481894604001602,-1.169247111724781
Andaman & Nicobar Islands,Andamans,75.0,750.0,2015.0,9.868421052631579,26.513157894736842,-0.06586059867913005,0.7251614736502223,0.6593008749710922
Andaman & Nicobar Islands,Nicobars,1.0,4.0,2.0,2.0,1.0,-0.26952619124307814,-0.788847191919848,-1.058373383162926
Andaman & Nicobar Islands,South Andaman,38.0,305.0,367.0,7.82051282051282,9.41025641025641,-0.11886849452267541,-0.2897634980341454,-0.4086319925568208
Andaman and Nicobar Islands,Nicobar,75.0,787.0,1811.0,10.355263157894736,23.82894736842105,-0.053259215861628253,0.5658743319399105,0.5126151160782823
Andaman and Nicobar Islands,North And Middle Andaman,132.0,2009.0,6383.0,15.105263157894736,47.99248120300752,0.06968941108751098,1.9997932441850486,2.0694826552725596
Andaman and Nicobar Islands,South Andaman,190.0,3391.0,10120.0,17.75392670157068,52.98429319371728,0.13824721023386863,2.296018691540988,2.434265901774857
Andhra Pradesh,Adilabad,1419.0,29291.0,52038.0,20.627464788732393,36.64647887323944,0.21262564440283463,1.326495727753703,1.5391213721565378
Andhra Pradesh,Alluri Sitharama Raju,1255.0,12871.0,18607.0,10.247611464968152,14.814490445859873,-0.05604566382669644,0.03093600903707625,-0.025109654789620194
Andhra Pradesh,Anakapalli,543.0,13460.0,6723.0,24.74264705882353,12.358455882352942,0.31914269908770765,-0.1148106534274784,0.20433204566022925
Andhra Pradesh,Anantapur,4415.0,68745.0,93565.0,15.56725543478261,21.187726449275363,0.08164758289897846,0.40913829104015015,0.4907858739391286
Andhra Pradesh,Ananthapur,1994.0,30026.0,84132.0,15.05062656641604,42.17142857142857,0.06827520184467167,1.6543587760838625,1.7226339779285342
Andhra Pradesh,Ananthapuramu,3187.0,55944.0,109602.0,17.548306148055207,34.37954830614805,0.1329249439755003,1.1919709254151398,1.32489586939064
Andhra Pradesh,Annamayya,1021.0,33634.0,9712.0,32.90998043052838,9.50293542074364,0.5305453146428646,-0.2842637153113226,0.24628159933154198
Andhra Pradesh,Bapatla,492.0,13514.0,5982.0,27.41176470588235,12.133874239350913,0.38822993063962336,-0.12813783758225442,0.2600920930573689
Andhra Pradesh,Chittoor,8195.0,169579.0,251405.0,20.690458760370912,30.674109321620303,0.21425617541736702,0.9720817703578787,1.1863379457752457
Andhra Pradesh,Cuddapah,5934.0,83667.0,170796.0,14.097219882055603,28.77775905644482,0.0435972981044091,0.8595480437891239,0.9031453418935329
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,665.0,14156.0,7306.0,21.255255255255257,10.96996996996997,0.22887532353351792,-0.19720655722123995,0.03166876631227797
Andhra Pradesh,East Godavari,7678.0,156025.0,301850.0,20.318400833441853,39.308503711420755,0.20462585725705734,1.4844663204023185,1.689092177659376
Andhra Pradesh,Eluru,629.0,17584.0,8230.0,27.91111111111111,13.063492063492063,0.4011549737753843,-0.07297220707798664,0.32818276669739765
Andhra Pradesh,Guntur,9729.0,177221.0,291694.0,18.21387461459404,29.978828365878726,0.1501524658916253,0.930822221213014,1.0809746871046393
Andhra Pradesh,Hyderabad,4840.0,36206.0,105744.0,7.479033257591407,21.843420780830407,-0.12770732471054488,0.44804868010430837,0.3203413553937635
Andhra Pradesh,K.V.Rangareddy,69.0,518.0,773.0,7.4,11.042857142857143,-0.12975301534300404,-0.1928812670389984,-0.3226342823820024
Andhra Pradesh,K.v. Rangareddy,19.0,166.0,404.0,8.3,20.2,-0.10645748602632503,0.35052436290214606,0.24406687687582101
Andhra Pradesh,Kakinada,969.0,28269.0,11698.0,29.143298969072166,12.05979381443299,0.43304882751848167,-0.13253393804686944,0.3005148894716122
Andhra Pradesh,Karim Nagar,82.0,1151.0,1697.0,13.867469879518072,20.44578313253012,0.037650467082608975,0.3651096915406807,0.4027601586232897
Andhra Pradesh,Karimnagar,659.0,10331.0,17127.0,15.653030303030302,25.95,0.08386777285219892,0.6917424066639412,0.7756101795161401
Andhra Pradesh,Khammam,1133.0,32368.0,40958.0,28.54320987654321,36.11816578483245,0.41751616857667323,1.2951444306197928,1.712660599196466
Andhra Pradesh,Krishna,6737.0,111849.0,233247.0,16.59973285841496,34.6166518254675,0.10837214744457471,1.2060411861162212,1.314413333560796
Andhra Pradesh,Kurnool,11770.0,177645.0,350633.0,15.091750913261405,29.78786849035766,0.0693396612086333,0.9194902290108758,0.9888298902195092
Andhra Pradesh,Mahabub Nagar,1511.0,12813.0,13852.0,8.47420634920635,9.161375661375661,-0.101948342565116,-0.304532646253808,-0.406480988818924
Andhra Pradesh,Mahabubnagar,7.0,81.0,120.0,10.125,15.0,-0.05921932935639261,0.041944566804522694,-0.017274762551869917
Andhra Pradesh,Mahbubnagar,722.0,9897.0,14739.0,13.688796680497925,20.38589211618257,0.033025704031632665,0.3615556227690256,0.39458132680065827
Andhra Pradesh,Medak,1406.0,12963.0,22445.0,9.213219616204691,15.952380952380953,-0.08281978120203311,0.0984610129762486,0.01564123177421549
Andhra Pradesh,N. T. R,933.0,38070.0,13559.0,40.76017130620985,14.51713062098501,0.7337390387383799,0.01329000247409358,0.7470290412124735
Andhra Pradesh,Nalgonda,1167.0,29844.0,32653.0,25.551369863013697,27.956335616438356,0.34007561663668423,0.8108029134762388,1.150878530112923
